n,float,f_hex,double,d_hex
37,1.08138144016265869141E+00,0x1.14d56ap0,6.82241072715309759822E-01,0x1.5d4eb3ae99b59p-1
38,8.17368268966674804688E-01,0x1.a27e18p-1,1.33260564696202932211E+00,0x1.5525a4c82ab5ep0
39,1.26520037651062011719E+00,0x1.43e42cp0,2.90915690285120653868E-03,0x1.7d4f1b836b6p-9
40,2.58605480194091796875E-01,0x1.08cfep-2,1.16112380297486057767E-02,0x1.7c7a1fcd4aafap-7
41,8.33791553974151611328E-01,0x1.aae6bap-1,4.60404895732439839451E-02,0x1.7929e7a04901ap-5
42,1.24954116344451904297E+00,0x1.3fe1eep0,1.77802778252543980386E-01,0x1.6c23dceddc66p-3
43,3.14105331897735595703E-01,0x1.41a4d4p-2,6.16369629147205944086E-01,0x1.3b94cccedeaafp-1
44,9.60434854030609130859E-01,0x1.ebbe1ep-1,1.32574395738363115527E+00,0x1.5363f4bbd5128p0
45,1.07443404197692871094E+00,0x1.130e1cp0,3.01847079168908738467E-02,0x1.ee8bd755e934p-6
46,8.34510624408721923828E-01,0x1.ab44fap-1,1.18005481891479455103E-01,0x1.e359b7578fdebp-4
47,1.24881851673126220703E+00,0x1.3fb292p0,4.30246046296596962311E-01,0x1.b8926b684f09dp-2
48,3.16630959510803222656E-01,0x1.443ae8p-2,1.16564920412482764256E+00,0x1.2a67fc7a53169p0
49,9.65758323669433593750E-01,0x1.ee77ep-1,5.86382615268778217832E-01,0x1.2c3a57970b71dp-1
50,1.06496584415435791016E+00,0x1.10a19ap0,1.31399674660675702675E+00,0x1.5062173db9f6bp0
51,8.57406616210937500000E-01,0x1.b6fep-1,7.62246361476019984593E-02,0x1.383752f67488p-4
52,1.22418808937072753906E+00,0x1.396464p0,2.87467959122905014624E-01,0x1.265e002c52aep-2
53,4.00842905044555664063E-01,0x1.9a769p-2,9.01958353924755540376E-01,0x1.cdcd7c40ebf06p-1
54,1.12134647369384765625E+00,0x1.1f109p0,1.16724679905505834832E+00,0x1.2ad0afac4d5a5p0
55,7.13132143020629882813E-01,0x1.6d1fa8p-1,5.81591926507394108015E-01,0x1.29c66abfef0cap-1
56,1.32685613632202148438E+00,0x1.53acd8p0,1.31162019909383009697E+00,0x1.4fc65763e189dp0
57,2.57829427719116210938E-02,0x1.a66d8p-6,8.54381563625048467969E-02,0x1.5df466768517p-4
58,1.01137489080429077148E-01,0x1.9e4258p-4,3.19853589762147894060E-01,0x1.4787b30e25813p-2
59,3.73863577842712402344E-01,0x1.7ed618p-2,9.72495402397394181904E-01,0x1.f1eaead99d452p-1
60,1.07613229751586914063E+00,0x1.137d68p0,1.05273968653736793577E+00,0x1.0d80591ce118fp0
61,8.30347061157226562500E-01,0x1.a9234p-1,8.86176203317084687505E-01,0x1.c5b8e3277b0bfp-1
62,1.25295948982238769531E+00,0x1.40c1f4p0,1.18878002329188969810E+00,0x1.3053e33a2d41cp0
63,3.02115499973297119141E-01,0x1.355dc4p-2,5.15526261833961330083E-01,0x1.07f30ee59cabap-1
64,9.34640645980834960938E-01,0x1.de8938p-1,1.26480306741435111206E+00,0x1.43ca22426cd4cp0
65,1.11790323257446289063E+00,0x1.1e2ee8p0,2.60031871635149736122E-01,0x1.0a45cb825cd04p-2
66,7.22490012645721435547E-01,0x1.71ea36p-1,8.37277763742361957888E-01,0x1.acafabc9e206fp-1
67,1.32398462295532226563E+00,0x1.52f0a8p0,1.24600889399721648232E+00,0x1.3efa705a3e40cp0
68,3.71326208114624023438E-02,0x1.3030cp-5,3.26421084228365909752E-01,0x1.4e415425f1598p-2
69,1.44393980503082275391E-01,0x1.27b808p-3,9.86032164226997798195E-01,0x1.f8d93534516fep-1
70,5.15027046203613281250E-01,0x1.07b1ap-1,1.02735037023745978679E+00,0x1.07006f11b410dp0
71,1.26434969902038574219E+00,0x1.43ac6cp0,9.43055131268701996028E-01,0x1.e2d81f463f851p-1
72,2.61658310890197753906E-01,0x1.0bf028p-2,1.10416158323812174658E+00,0x1.1aaa556181df6p0
73,8.41238021850585937500E-01,0x1.aeb6cp-1,7.59127927255740075907E-01,0x1.84ac6a6a165cp-1
74,1.24190783500671386719E+00,0x1.3dedacp0,1.30768607920417156976E+00,0x1.4ec483cf9dcb4p0
75,3.40626120567321777344E-01,0x1.5ccd18p-2,1.00615671583549559642E-01,0x1.9c1f2daea9aap-4
76,1.01442599296569824219E+00,0x1.03b16cp0,3.72092146229572151572E-01,0x1.7d05b93c9e2b5p-2
77,9.70523715019226074219E-01,0x1.f0e87cp-1,1.07301088906110075882E+00,0x1.12b0d774c4f1ap0
78,1.05634605884552001953E+00,0x1.0e6cb2p0,8.37986452113321345081E-01,0x1.ad0c8f6ca2b4cp-1
79,8.77783238887786865234E-01,0x1.c16ccep-1,1.24528192667686998796E+00,0x1.3ecacbdd6084dp0
80,1.19962263107299804688E+00,0x1.331a78p0,3.28946475983307728974E-01,0x1.50d75851ee57ap-2
81,4.81207132339477539063E-01,0x1.ecc19p-2,9.91168551747720338874E-01,0x1.fb7a71c529087p-1
82,1.23014760017395019531E+00,0x1.3aeaf4p0,1.01742891306986127375E+00,0x1.047638a3a3cf4p0
83,3.80801022052764892578E-01,0x1.85f0b4p-2,9.64230872827887108834E-01,0x1.edafab412dba1p-1
84,1.08817589282989501953E+00,0x1.1692b2p0,1.06769996296826152893E+00,0x1.1154c8e6e39bbp0
85,8.00323247909545898438E-01,0x1.99c3f8p-1,8.50850219105764971061E-01,0x1.b3a2a3d1b5178p-1
86,1.27974104881286621094E+00,0x1.479d1cp0,1.23156259036607518276E+00,0x1.3b47af98996e3p0
87,2.05752730369567871094E-01,0x1.a561bp-3,3.76011119496709511623E-01,0x1.81090f14aedp-2
88,6.96008324623107910156E-01,0x1.645b34p-1,1.07989139203133177602E+00,0x1.1473c32401a9p0
89,1.33075058460235595703E+00,0x1.54ac12p0,8.21069312375224624745E-01,0x1.a4633268cd356p-1
90,1.03108882904052734375E-02,0x1.51dep-7,1.26181280232792580875E+00,0x1.430629efac2c8p0
91,4.09246087074279785156E-02,0x1.4f412p-5,2.70736564955743719274E-01,0x1.153bf75143e3ep-2
92,1.58673971891403198242E-01,0x1.44f6dcp-3,8.63051397010867971105E-01,0x1.b9e1df69db8a6p-1
93,5.59163570404052734375E-01,0x1.1e4abp-1,1.21763244639623935406E+00,0x1.37b6c28fd2009p0
94,1.29866266250610351563E+00,0x1.4c7528p0,4.22643462034285266604E-01,0x1.b0c9729d38cdep-2
95,1.35076522827148437500E-01,0x1.14a3p-3,1.15469136013616191505E+00,0x1.2799da5cc231ep0
96,4.85569089651107788086E-01,0x1.f13906p-2,6.18829029025348975601E-01,0x1.3cd72892f567fp-1
97,1.23494422435760498047E+00,0x1.3c254ep0,1.32646801460802721273E+00,0x1.53936865ee789p0
98,3.64515185356140136719E-01,0x1.754378p-2,2.73198770976244009745E-02,0x1.bf9bdeaa8ff4p-6
99,1.05944681167602539063E+00,0x1.0f37e8p0,1.07040381336609702334E-01,0x1.b66ff99312df4p-4
