n,float,f_ulp,f_hex,double,d_ulp,d_hex,big_dec,f_abs_err,d_abs_err
10,0.72290933132171630859375,5.9604644775390625E-8,0x1.72212cp-1,0.72291430117960164825063884563860483467578887939453125,1.1102230246251565E-16,0x1.7221d2c2c1111p-1,0.7229143011795712513621222909971168,0.0000049698578549427683722909971168,3.039688851655464148803467578887939453125E-14
11,1.32384359836578369140625,1.1920928955078125E-7,0x1.52e76ap0,1.3238419441684310395856982722762040793895721435546875,2.220446049250313E-16,0x1.52e74e3f46c6bp0,1.323841944168441448402888057804996,0.000001654197342243003361942195004,1.04088171897855287919206104278564453125E-14
12,0.037688732147216796875,3.725290298461914E-9,0x1.34bfp-5,0.03769529725477038795133921667002141475677490234375,6.938893903907228E-18,0x1.34ccc49d82f8p-5,0.037695297254729258503304536646095,0.000006565107512461628304536646095,4.112944803468002392641475677490234375E-14
13,0.146493613719940185546875,1.4901161193847656E-8,0x1.2c04d8p-3,0.146518382713705042075247320099151693284511566162109375,2.7755575615628914E-17,0x1.2c11d4702538ep-3,0.1465183827135498364953261212295184,0.0000247689936096509484511212295184,1.55205579921198869633293284511566162109375E-13
14,0.5215933322906494140625,5.9604644775390625E-8,0x1.0b0e48p-1,0.521670621435700976320504196337424218654632568359375,1.1102230246251565E-16,0x1.0b186964b35ecp-1,0.5216706214352165673358859743612444,0.0000772891445671532733859743612444,4.84408984618221976179818654632568359375E-13
15,1.270194530487060546875,1.1920928955078125E-7,0x1.452b78p0,1.2702617739354724601952284501749090850353240966796875,2.220446049250313E-16,0x1.452fe028696bbp0,1.270261773935051164065703805012760,0.000067243447990617190703805012760,4.212961295246451621490850353240966796875E-13
16,0.24059581756591796875,1.4901161193847656E-8,0x1.ecbd8p-3,0.24035217277681031333713690401054918766021728515625,2.7755575615628914E-17,0x1.ec3dc28ccaa2p-3,0.240352172778335569568964358699029,0.000243644787582399181035641300971,1.52525623182745468847981233978271484375E-12
17,0.788724243640899658203125,5.9604644775390625E-8,0x1.93d3aap-1,0.7881011902316401585011362840305082499980926513671875,1.1102230246251565E-16,0x1.9381ffcbf7966p-1,0.7881011902355416563138925338039912,0.0006230534053580018892324661960088,3.9014978127562497734829500019073486328125E-12
18,1.28863918781280517578125,1.1920928955078125E-7,0x1.49e442p0,1.2890943027929768760486695100553333759307861328125,2.220446049250313E-16,0x1.4a02158ff4ac8p0,1.289094302790134367275832203100445,0.000455114977329191494582203100445,2.8425087728373069548883759307861328125E-12
19,0.17278385162353515625,1.4901161193847656E-8,0x1.61dc8p-3,0.1710848466919738797287209308706223964691162109375,2.7755575615628914E-17,0x1.5e61bb6b10ccp-3,0.171084846702589591212488525401300,0.001699004920945565037511474598700,1.06157114837675945306776035308837890625E-11
20,0.60157263278961181640625,5.9604644775390625E-8,0x1.340154p-1,0.59652931246504692364140964855323545634746551513671875,1.1102230246251565E-16,0x1.316c4a4049157p-1,0.5965293124966126232863083846945138,0.0050433202929991931199416153054862,3.156569964489873614127834365253448486328125E-11
21,1.32062160968780517578125,1.1920928955078125E-7,0x1.521442p0,1.318575587970122864334143741871230304241180419921875,2.220446049250313E-16,0x1.518e2b73a2b9ep0,1.318575587983406541408380927506231,0.002046021704398634372869072493769,1.3283677074237185635000695758819580078125E-11
22,0.050362110137939453125,3.725290298461914E-9,0x1.9c91p-5,0.05837760830822613655755048966966569423675537109375,6.938893903907228E-18,0x1.de3ab7d014b8p-5,0.058377608256267310149084303733744,0.008015498118327857024084303733744,5.195882640846618593592169423675537109375E-11
23,0.19383941590785980224609375,1.4901161193847656E-8,0x1.8cfbaep-3,0.2232865977775385368797600449397577904164791107177734375,2.7755575615628914E-17,0x1.c94a7bd8b7923p-3,0.2232865975879026129487324219279064,0.0294471816800428107026386719279064,1.896359239310276230118513904164791107177734375E-10
24,0.6626365184783935546875,5.9604644775390625E-8,0x1.534518p-1,0.74357567686894932013075276699964888393878936767578125,1.1102230246251565E-16,0x1.7cb5f37c81a39p-1,0.7435756763644645808816576530406820,0.0809391578860710261941576530406820,5.0448473924909511395896688393878936767578125E-10
25,1.3332846164703369140625,1.1920928955078125E-7,0x1.555224p0,1.31558834578244887580922295455820858478546142578125,2.220446049250313E-16,0x1.50ca65d822654p0,1.315588346015245412485315727849210,0.017696270455091501577184272150790,2.3279653667609277329100141521453857421875E-10
26,0.000195026397705078125,1.4551915228366852E-11,0x1.99p-13,0.070035296453994533294462598860263824462890625,1.3877787807814457E-17,0x1.1edd54bd5e8p-4,0.070035295547594379966700037457728,0.069840269149889301841700037457728,9.06400153327762561402535824462890625E-10
27,0.0007799915038049221038818359375,5.820766091346741E-11,0x1.98f0bp-11,0.26542635756778143463208152752486057579517364501953125,5.551115123125783E-17,0x1.0fcbed5500062p-2,0.2654263543230608403193617711183898,0.2646463628192559182154799351808898,3.24472059431271975640647077579517364501953125E-9
28,0.00311814085580408573150634765625,2.3283064365386963E-10,0x1.98b372p-9,0.85035197639602644326117797390907071530818939208984375,1.1102230246251565E-16,0x1.b36155916b77bp-1,0.8503519685845502471674758217403823,0.8472338277287461614359694740841323,7.81147619609370215216868841530818939208984375E-9
